,Vmag,Plx,e_Plx,B-V,SpType,TargetClass
4536,9.04,9.78,1.2,0.52,455,0
4537,10.59,3.76,1.5,0.73,507,0
4538,8.45,2.38,1.07,1.053,633,0
4539,7.65,7.8,1.01,0.177,39,1
4540,7.25,10.89,1.03,1.019,698,0
4541,7.91,4.08,0.79,1.045,633,0
4542,9.27,3.45,0.98,1.065,633,0
4543,10.06,23.95,1.65,1.047,727,0
4544,10.71,7.87,1.73,0.56,420,0
4545,9.2,2.02,0.96,0.161,78,1
4546,8.01,12.39,1.09,0.657,500,0
4547,6.83,3.19,0.9,1.372,685,0
4548,6.67,9.17,0.56,0.393,317,1
4549,7.16,6.94,1.26,1.099,507,0
4550,8.96,-0.09,1.27,0.978,507,0
4551,7.77,2.75,1.07,1.391,818,0
4552,8.11,13.43,1.05,0.488,382,1
4553,6.4,9.18,0.62,0.135,73,1
4554,7.21,6.74,0.9,0.13,2,0
4555,8.35,6.22,3.16,0.413,116,0
4556,8.32,1.73,0.99,0.976,609,0
4557,7.12,4.52,0.73,0.197,55,1
4558,8.36,1.96,0.89,0.201,253,1
4559,8.09,6.64,1.21,0.992,507,0
4560,7.34,6.83,0.94,0.975,425,0
4561,8.44,2.05,0.97,0.238,139,1
4562,9.04,4.32,1.28,0.47,344,1
4563,6.99,4.33,0.78,1.428,735,0
4564,10.11,10.79,1.68,0.76,609,0
4565,7.88,5.78,1.04,0.383,310,1
4566,9.46,3.73,1.18,0.648,500,0
4567,7.34,7.68,0.86,0.402,354,1
4568,7.22,4.29,0.89,1.273,668,0
4569,6.85,1.79,0.81,1.6,818,0
4570,9.56,20.55,1.42,0.877,445,1
4571,8.36,2.65,2.09,0.427,292,1
4572,9.87,9.02,1.59,0.51,416,0
4573,8.82,7.2,1.21,0.422,354,1
4574,8.97,2.99,1.04,1.136,668,0
4575,10.33,4.69,1.81,0.486,420,0
4576,8.27,3.1,1.05,0.394,317,1
4577,9.24,3.1,1.25,0.6,80,1
4578,8.77,1.59,1.07,1.332,685,0
4579,7.4,5.57,0.88,0.221,55,1
4580,7.74,11.34,1.12,0.543,366,1
4581,8.98,5.03,1.53,0.564,420,0
4582,9.56,10.44,1.44,0.555,424,0
4583,9.46,3.14,1.2,1.212,609,0
4584,7.68,11.92,0.92,0.876,609,0
4585,9.69,4.1,1.65,0.939,654,0
4586,7.67,3.29,0.89,-0.046,186,0
4587,8.32,2.14,0.97,1.506,735,0
4588,7.34,24.77,0.86,0.547,420,0
4589,9.4,4.68,1.27,1.0,609,0
4590,8.62,14.22,1.17,0.756,575,0
4591,8.26,8.11,1.06,0.409,292,1
4592,8.94,10.96,1.2,0.762,507,0
4593,8.82,3.49,1.32,0.541,382,1
4594,10.65,6.62,1.83,0.54,867,0
4595,8.11,5.65,1.7,0.52,376,0
4596,8.27,1.48,1.15,1.388,719,0
4597,8.47,4.18,0.9,0.321,39,1
4598,8.22,0.21,0.94,0.108,39,1
4599,8.84,1.38,1.12,1.009,685,0
4600,9.1,1.06,1.34,0.082,2,0
4601,7.95,1.76,1.06,1.631,738,0
4602,9.67,2.45,1.51,1.249,668,0
4603,8.1,3.04,0.97,1.022,507,0
4604,9.43,16.47,2.47,0.668,651,0
4605,8.14,2.53,1.06,1.068,507,0
4606,7.66,3.87,0.88,0.034,2,0
4607,9.34,3.04,1.45,0.856,518,0
4608,11.42,-6.63,3.8,0.041,10,0
4609,12.63,11.17,3.61,-0.241,145,0
4610,5.59,5.19,0.77,1.185,668,0
4611,6.86,6.5,0.83,0.897,577,0
4612,6.91,22.23,0.64,0.65,460,0
4613,8.1,8.78,1.08,0.41,333,1
4614,7.87,13.85,1.51,0.558,366,1
4615,7.66,1.53,0.99,1.405,719,0
4616,9.09,7.29,1.21,0.601,366,0
4617,7.53,1.32,0.87,1.57,609,0
4618,9.09,4.11,1.26,0.386,291,1
4619,8.93,4.14,1.24,0.353,310,1
4620,8.78,6.93,1.71,0.429,382,1
4621,9.5,1.51,1.35,0.255,253,1
4622,8.85,5.93,1.14,0.516,420,0
4623,8.47,2.28,1.0,1.537,745,0
4624,7.87,2.06,1.09,0.982,507,0
4625,6.48,3.54,0.75,1.099,507,0
4626,8.79,3.0,1.34,0.293,80,1
4627,8.96,7.52,1.29,0.574,366,0
4628,6.67,2.8,1.06,0.019,253,1
4629,8.86,2.9,1.31,1.138,685,0
4630,8.91,2.14,1.06,1.072,609,0
4631,9.13,1.79,1.38,1.259,685,0
4632,7.76,5.33,0.71,1.095,668,0
4633,6.61,13.28,0.79,0.905,642,0
4634,8.95,8.28,0.99,0.473,317,1
4635,7.22,2.85,0.85,1.618,685,0
4636,8.19,5.84,1.01,1.085,609,0
4637,8.85,0.72,1.31,0.836,507,0
4638,9.66,3.53,1.48,0.47,333,0
4639,7.77,4.14,0.69,0.399,366,0
4640,6.47,11.76,0.87,1.184,687,0
4641,8.49,6.95,0.73,0.456,343,1
4642,8.42,1.43,1.09,1.218,609,0
4643,7.75,6.33,0.99,0.86,445,1
4644,8.41,5.88,0.88,0.341,310,1
4645,7.83,7.81,0.97,0.954,507,0
4646,7.94,13.98,0.87,0.407,354,1
4647,8.94,1.65,1.04,1.157,738,0
4648,6.71,13.94,0.9,0.783,586,0
4649,8.9,6.08,1.0,0.459,445,1
4650,6.77,1.79,0.72,0.28,39,1
4651,7.73,11.21,0.9,0.389,366,0
4652,8.87,2.95,1.22,1.3,738,0
4653,10.14,2.5,1.63,0.516,371,1
4654,8.23,16.58,1.07,0.626,530,1
4655,8.19,4.73,0.91,0.42,292,1
4656,8.12,5.94,1.05,1.172,668,0
4657,8.39,2.57,0.9,1.05,646,0
4658,9.75,4.53,1.55,0.354,310,1
4659,8.03,6.42,0.92,0.469,420,0
4660,8.7,4.63,0.82,0.877,586,0
4661,8.6,5.09,1.37,0.448,354,0
4662,8.9,4.39,1.91,0.2,420,0
4663,10.49,32.06,2.18,1.226,752,0
4664,7.6,9.44,1.08,0.492,398,1
4665,8.44,9.13,1.12,0.289,310,1
4666,8.98,1.08,1.13,1.257,564,0
4667,8.12,4.45,0.85,0.436,301,1
4668,6.12,8.86,0.55,0.935,575,0
4669,8.33,10.9,0.94,0.598,449,1
4670,9.61,6.01,1.33,0.523,416,0
4671,8.27,12.5,1.0,0.577,500,0
4672,7.55,4.5,0.89,1.088,507,0
4673,6.71,6.94,0.71,1.109,668,0
4674,9.07,6.72,1.03,0.543,398,1
4675,8.1,3.13,1.06,1.107,633,0
4676,8.81,5.55,1.17,0.511,390,0
4677,8.64,2.92,1.12,1.044,507,0
4678,7.79,5.54,0.82,0.334,333,0
4679,9.13,2.03,1.14,1.206,685,0
4680,8.82,6.68,1.25,0.525,445,1
4681,7.79,2.2,1.13,1.357,609,0
4682,6.9,4.84,0.54,0.01,575,0
4683,6.48,5.16,0.8,0.122,65,1
4684,10.06,46.22,4.48,1.365,761,0
4685,9.55,0.38,1.3,1.389,738,0
4686,8.62,2.91,0.96,0.918,581,0
4687,9.66,11.5,2.29,0.69,530,1
4688,8.16,46.62,1.61,1.008,685,0
4689,7.79,3.69,0.92,1.157,668,0
4690,9.93,0.59,1.48,0.094,2,0
4691,5.5,14.39,0.73,0.083,23,1
4692,9.0,-0.32,1.35,-0.033,2,0
4693,9.34,0.7,1.37,1.171,685,0
4694,7.91,31.34,1.28,0.799,651,0
4695,8.49,7.71,1.05,0.45,420,0
4696,9.98,122.75,1.23,1.501,809,0
4697,7.08,9.25,0.81,0.287,292,1
4698,9.95,6.35,1.83,0.82,445,1
4699,10.08,7.65,1.6,0.831,507,0
4700,9.38,2.68,1.17,0.068,47,1
4701,8.37,1.17,1.13,0.282,39,1
4702,7.92,6.85,1.02,0.305,80,1
4703,8.46,15.3,0.88,0.619,465,0
4704,8.55,5.05,1.14,0.302,80,1
4705,8.91,0.22,1.13,1.002,507,0
4706,9.02,3.68,1.21,0.96,586,0
4707,6.88,22.39,0.87,0.448,416,1
4708,7.24,1.96,0.57,1.39,697,0
4709,7.83,1.92,0.86,1.481,709,0
4710,9.37,6.49,1.73,0.772,589,0
4711,9.56,99.44,1.39,1.463,754,0
4712,8.58,5.13,0.91,1.29,719,0
4713,9.84,22.05,1.68,0.919,709,0
4714,7.39,1.54,0.84,0.033,2,0
4715,9.64,5.79,1.32,0.519,398,1
4716,6.83,16.55,0.78,0.498,366,1
4717,6.25,4.06,0.6,1.634,798,0
4718,8.69,2.19,0.8,1.126,614,0
4719,8.57,2.27,1.08,0.818,507,0
4720,7.7,20.34,0.78,0.591,455,1
4721,9.07,1.75,1.24,1.705,738,0
4722,9.4,5.37,1.25,0.432,366,0
4723,9.13,6.73,1.26,0.526,382,1
4724,9.52,11.43,1.69,0.77,507,0
4725,8.54,6.06,1.1,0.397,292,1
4726,8.02,4.7,1.92,0.07,2,0
4727,5.5,7.87,0.68,-0.043,257,1
4728,5.39,13.86,0.61,0.9,575,0
4729,7.83,1.23,1.04,-0.018,2,0
4730,8.52,16.88,1.07,0.572,530,1
4731,7.21,14.49,0.94,0.406,354,1
4732,7.25,3.65,0.77,0.914,609,0
4733,9.4,9.99,1.31,0.598,530,1
4734,8.8,2.51,1.09,0.17,241,1
4735,8.19,3.68,0.88,1.138,674,0
4736,10.81,24.14,2.69,1.47,771,0
4737,8.4,2.56,1.05,1.019,581,0
4738,7.8,2.77,0.99,1.208,698,0
4739,6.84,0.89,1.3,-0.019,209,1
4740,5.95,9.49,0.86,0.161,94,1
4741,8.29,14.9,0.85,0.543,420,0
4742,8.49,2.8,1.0,1.005,575,0
4743,4.27,17.14,0.81,0.952,633,0
4744,7.67,38.72,0.78,0.756,507,1
4745,8.16,0.89,1.0,1.565,738,0
4746,8.52,18.3,1.35,0.649,445,1
4747,8.61,2.9,1.1,1.337,719,0
4748,6.46,9.68,1.01,0.248,137,1
4749,8.56,2.67,1.22,1.04,609,0
4750,8.44,2.82,1.02,-0.004,2,0
4751,5.4,7.95,0.86,1.106,636,0
4752,8.05,2.55,0.91,1.078,609,0
4753,8.03,3.0,0.75,0.115,2,0
4754,8.95,8.88,1.23,0.625,479,0
4755,7.39,0.43,0.93,1.53,771,0
4756,8.09,1.04,0.96,0.013,209,1
4757,9.53,2.71,1.28,1.387,710,0
4758,9.59,3.26,1.37,0.407,333,0
4759,8.75,2.05,1.45,0.944,507,0
4760,9.05,0.92,0.92,1.588,738,0
4761,8.98,0.78,1.4,1.6,740,0
4762,8.68,9.91,1.15,0.45,333,1
4763,7.96,4.48,0.69,1.07,561,0
4764,9.1,2.01,1.08,0.081,2,0
4765,11.36,61.22,5.26,1.59,769,0
4766,9.41,3.28,1.5,1.066,685,0
4767,7.99,3.39,1.31,0.983,586,0
4768,9.01,-1.8,1.34,1.547,771,0
4769,6.28,8.93,0.9,0.932,583,0
4770,6.81,12.44,1.11,0.48,382,1
4771,8.09,1.94,1.05,0.821,604,0
4772,6.99,1.98,0.75,1.59,811,0
4773,9.29,5.16,1.35,0.4,310,1
4774,7.69,3.98,0.96,1.143,507,0
4775,7.53,2.76,0.86,1.468,719,0
4776,9.25,1.18,1.17,1.403,719,0
4777,9.56,10.04,1.56,0.528,420,0
4778,8.4,3.24,1.51,0.379,366,0
4779,10.54,3.24,2.12,0.54,445,1
4780,8.85,3.69,1.01,0.388,366,0
4781,7.96,-0.24,0.93,1.591,685,0
4782,8.96,0.66,1.23,1.655,738,0
4783,9.08,5.41,1.2,0.333,55,1
4784,8.67,3.43,1.19,1.015,609,0
4785,8.03,3.64,0.98,0.034,2,0
4786,9.2,11.52,1.55,0.665,500,0
4787,7.8,11.18,0.99,0.775,445,1
4788,9.08,3.46,1.27,0.063,2,0
4789,9.75,15.12,1.49,0.814,586,0
4790,9.27,6.03,1.22,0.829,238,1
4791,9.01,2.09,1.23,1.96,752,0
4792,8.16,9.03,1.02,0.418,292,1
4793,8.86,14.08,1.18,0.552,483,0
4794,8.98,3.54,1.3,0.569,416,0
4795,8.6,2.45,1.22,0.741,523,0
4796,5.92,2.16,0.87,0.512,299,1
4797,6.75,2.8,0.73,1.688,738,0
4798,8.14,9.72,1.32,0.56,445,1
4799,11.62,9.66,17.61,1.124,766,0
4800,6.74,6.67,0.56,0.246,366,0
4801,8.44,22.56,0.73,0.6,507,1
4802,7.74,4.51,1.07,0.337,80,1
4803,10.02,5.8,1.46,0.787,609,0
4804,8.69,0.2,1.0,-0.157,366,0
4805,8.22,3.08,2.82,0.064,2,0
4806,8.84,8.04,1.01,0.412,354,1
4807,8.54,1.4,0.69,-0.035,242,1
4808,8.78,11.36,5.31,0.529,371,1
4809,8.86,1.8,1.21,1.207,685,0
4810,9.44,8.7,2.87,0.714,507,0
4811,8.26,4.01,1.09,1.194,701,0
4812,7.07,6.93,1.14,0.094,2,0
4813,10.16,3.25,1.61,0.692,458,0
4814,6.06,17.66,0.72,0.271,316,1
4815,9.11,17.38,1.27,0.577,500,0
4816,8.1,3.67,0.89,1.05,507,0
4817,6.82,1.13,0.79,-0.055,190,0
4818,9.75,5.84,1.26,0.498,420,0
4819,7.03,5.43,1.12,0.147,62,1
4820,10.21,-0.78,1.7,0.912,468,0
4821,7.69,6.32,0.95,1.238,609,0
4822,8.42,2.18,1.09,0.979,507,0
4823,7.19,16.66,0.89,0.442,420,0
4824,7.2,2.67,1.03,0.232,55,1
4825,8.71,1.47,1.0,1.259,687,0
4826,8.93,2.28,1.26,1.071,609,0
4827,9.01,2.93,1.29,0.101,47,1
4828,7.92,4.14,1.01,1.12,507,0
4829,9.24,1.13,1.21,-0.062,272,1
4830,9.19,0.18,1.28,1.647,738,0
4831,7.28,11.96,0.84,0.446,382,1
4832,5.99,3.29,0.69,1.447,685,0
4833,9.1,2.83,1.15,0.356,292,1
4834,8.26,0.72,1.04,0.47,177,1
4835,9.35,2.9,1.42,0.042,2,0
4836,7.14,2.38,0.82,1.655,811,0
4837,9.9,3.39,1.57,0.499,382,1
4838,10.25,16.28,1.76,0.764,526,0
4839,7.74,4.57,0.92,1.032,609,0
4840,8.78,6.96,1.14,0.432,382,1
4841,8.26,4.64,2.05,0.96,480,0
4842,9.4,2.55,1.08,0.308,2,0
4843,8.75,6.82,1.12,0.851,591,0
4844,9.33,5.81,1.28,0.531,382,1
4845,8.24,13.66,0.92,0.489,420,0
4846,7.04,5.52,0.75,1.017,572,0
4847,9.25,8.33,1.14,0.698,500,0
4848,8.61,0.99,1.03,0.444,241,1
4849,6.84,16.06,0.71,0.528,445,1
4850,8.18,3.13,0.89,1.486,738,0
4851,11.56,17.77,2.65,1.61,771,0
4852,8.97,6.02,1.26,0.481,382,1
4853,8.92,6.21,1.18,0.843,575,0
4854,5.83,12.47,0.63,0.569,398,1
4855,8.96,5.2,1.26,0.611,479,0
4856,12.06,9.3,3.7,-0.242,145,0
4857,8.23,7.28,0.98,0.337,317,1
4858,8.51,8.56,1.02,0.54,445,1
4859,6.84,2.47,0.73,1.596,784,0
4860,9.78,39.0,1.88,1.194,732,0
4861,7.97,9.31,1.04,0.321,292,1
4862,7.54,4.23,0.82,0.086,253,1
4863,9.96,-0.79,1.91,0.388,310,1
4864,9.15,25.48,1.14,0.801,507,1
4865,8.73,3.91,1.12,0.563,420,0
4866,6.2,23.81,0.87,0.443,413,1
4867,8.53,7.56,1.14,0.307,39,1
4868,8.75,4.47,1.83,0.505,371,1
4869,8.91,2.73,1.14,1.095,507,0
4870,8.95,1.64,0.91,1.592,796,0
4871,8.17,3.41,0.78,1.014,560,0
4872,8.79,6.71,1.16,0.831,507,0
4873,10.02,34.38,1.68,1.28,738,0
4874,6.44,6.3,2.07,1.071,633,0
4875,7.61,3.45,0.66,1.185,658,0
4876,9.58,4.86,3.34,1.011,609,0
4877,6.77,11.85,0.88,0.328,311,1
4878,8.24,11.53,1.14,0.52,398,1
4879,8.44,10.4,0.98,0.538,420,0
4880,8.21,3.75,0.99,1.151,609,0
4881,9.52,3.61,1.37,0.448,420,0
4882,8.83,2.37,1.62,1.083,581,0
4883,9.42,6.37,2.74,0.519,398,1
4884,8.27,1.73,1.11,0.956,507,0
4885,9.49,2.34,1.22,1.015,609,0
4886,7.72,24.8,0.89,0.613,498,1
4887,7.07,1.68,0.86,1.607,685,0
4888,9.46,2.1,1.54,0.58,479,0
4889,10.71,4.07,1.91,0.665,445,1
4890,9.35,1.11,1.11,1.022,633,0
4891,9.19,7.22,1.27,0.596,500,0
4892,7.21,7.72,0.84,1.195,609,0
4893,8.97,13.64,1.3,0.564,416,1
4894,6.53,3.06,0.76,-0.081,204,0
4895,8.47,7.03,1.06,0.402,333,0
4896,8.99,6.49,1.5,0.45,317,1
4897,9.4,6.3,1.42,0.51,431,0
4898,8.19,2.95,0.66,0.073,30,1
4899,7.92,3.83,0.83,0.186,2,0
4900,7.5,8.63,1.04,0.488,371,1
4901,8.98,1.85,1.41,1.217,668,0
4902,6.82,2.09,0.61,0.044,2,0
4903,7.7,8.57,0.96,1.084,507,0
4904,8.62,4.02,1.13,1.018,507,0
4905,7.93,13.07,1.1,0.543,420,0
4906,6.03,4.52,0.87,1.525,745,0
4907,7.2,3.12,0.91,1.673,798,0
4908,10.44,1.95,1.82,0.486,402,1
4909,9.81,2.02,1.11,0.312,2,0
4910,7.77,10.25,0.91,0.403,366,0
4911,10.79,0.55,2.43,0.594,445,1
4912,7.3,3.27,1.06,1.078,633,0
4913,5.64,18.28,0.79,0.42,360,1
4914,7.37,4.22,0.67,1.086,719,0
4915,8.7,4.38,1.24,1.1,609,0
4916,7.86,3.81,0.92,0.941,575,0
4917,7.37,4.73,0.58,1.08,633,0
4918,8.09,8.42,0.83,0.453,382,0
4919,9.22,3.83,1.45,0.864,554,0
4920,9.65,3.68,1.44,0.975,609,0
4921,9.02,0.78,1.27,1.053,609,0
4922,8.91,3.21,1.35,0.37,310,1
4923,7.44,2.43,0.89,1.567,770,0
4924,10.59,0.57,1.64,0.0,2,0
4925,8.58,2.87,1.95,0.233,43,1
4926,7.82,2.43,0.71,0.182,90,0
4927,11.23,10.74,2.25,1.106,730,0
4928,9.19,2.19,1.34,0.282,137,1
4929,9.3,10.02,1.27,0.449,386,0
4930,9.78,9.26,1.19,0.617,492,0
4931,7.18,18.2,0.82,0.421,354,1
4932,11.16,5.46,6.54,0.264,860,0
4933,8.82,6.65,1.12,1.199,609,0
4934,8.76,2.22,1.13,1.243,507,0
4935,7.92,2.03,1.02,1.134,507,0
4936,7.65,1.89,0.99,0.785,500,0
4937,7.89,1.59,1.03,1.375,698,0
4938,8.29,18.19,0.98,0.6,445,1
4939,8.17,2.8,0.75,1.109,575,0
4940,7.96,3.78,0.66,0.024,2,0
4941,9.57,3.59,1.22,0.579,398,1
4942,8.66,37.6,2.02,1.197,709,0
4943,8.26,2.09,1.11,1.526,771,0
4944,9.17,7.86,1.0,0.487,507,0
4945,7.96,2.91,0.61,-0.064,143,0
4946,10.08,22.78,1.2,0.964,771,0
4947,9.2,11.63,3.08,0.809,609,0
4948,9.21,3.97,1.4,0.533,398,1
4949,8.43,5.22,0.97,0.376,317,1
4950,8.14,6.54,1.22,0.388,331,1
4951,9.68,-0.1,1.46,1.249,685,0
4952,9.6,5.24,1.42,0.083,253,1
4953,6.09,10.58,0.72,1.012,633,0
4954,8.77,11.19,0.83,0.762,507,0
4955,8.88,3.96,1.03,1.043,685,0
4956,9.69,2.8,1.12,1.258,721,0
4957,8.84,2.79,1.5,0.4,354,0
4958,9.01,1.43,0.91,1.06,575,0
4959,10.4,4.29,1.75,0.474,340,0
4960,9.06,3.25,0.91,0.834,518,0
4961,9.31,9.35,1.26,0.539,431,0
4962,5.33,13.67,1.47,0.003,31,1
4963,5.55,14.67,1.72,-0.048,16,1
4964,7.3,6.95,1.04,1.131,609,0
4965,8.97,15.81,1.16,0.644,507,0
4966,8.29,5.67,0.98,0.911,672,0
4967,9.58,15.62,1.53,0.749,591,0
4968,8.3,10.9,1.14,0.501,382,1
4969,10.68,-2.12,3.61,0.945,434,0
4970,8.28,4.03,0.91,0.148,65,1
4971,6.35,21.88,1.03,0.383,365,1
4972,9.04,6.58,2.55,0.36,455,0
4973,8.06,0.86,0.94,1.318,685,0
4974,8.51,5.78,1.43,0.36,137,1
4975,8.21,9.43,0.97,0.543,317,1
4976,7.26,22.69,1.03,0.484,398,1
4977,9.23,4.79,1.45,0.377,137,1
4978,7.26,3.97,0.76,0.104,238,1
4979,7.64,4.44,0.94,0.33,292,1
4980,8.76,4.07,1.22,1.077,668,0
4981,8.44,4.45,1.25,0.161,143,0
4982,9.35,3.0,1.2,0.151,0,0
4983,9.79,-0.45,1.61,0.471,354,0
4984,9.38,3.38,1.1,0.511,344,1
4985,8.08,5.59,1.21,1.068,609,0
4986,12.09,0.35,3.21,0.526,101,0
4987,8.13,2.71,1.15,1.089,633,0
4988,8.96,3.62,1.78,1.022,668,0
4989,10.16,22.31,2.12,1.078,738,0
4990,8.98,8.15,1.38,0.465,382,0
4991,7.73,1.64,0.85,1.409,719,0
4992,7.12,2.63,0.73,0.019,200,1
4993,8.97,0.13,0.88,1.724,785,0
4994,9.5,12.72,1.35,0.603,443,1
4995,3.32,16.45,22.22,0.885,585,0
4996,5.58,5.48,0.68,0.009,30,1
4997,7.31,3.69,0.78,1.345,609,0
4998,9.32,9.58,1.42,0.5,416,0
4999,8.91,5.49,1.11,0.813,543,0
5000,6.84,8.83,0.79,1.0,507,0
5001,6.12,9.31,0.9,1.076,668,0
5002,8.55,-0.47,1.07,0.931,574,0
5003,7.41,7.53,0.82,0.398,292,1
5004,8.21,1.97,0.98,1.557,745,0
5005,9.08,6.53,1.26,0.315,133,1
5006,6.28,5.6,0.81,1.308,609,0
5007,8.15,20.84,1.0,0.656,445,1
5008,8.46,1.92,1.19,1.411,609,0
5009,9.73,7.46,1.09,0.506,416,0
5010,8.77,6.29,1.56,0.539,416,0
5011,8.62,2.25,1.3,0.45,361,0
5012,8.73,12.62,1.79,0.5,420,0
5013,8.12,12.57,1.08,0.607,479,0
5014,8.47,6.57,1.1,0.337,310,1
5015,6.52,14.39,0.66,0.214,92,1
5016,10.27,1.52,1.64,0.53,431,0
5017,7.8,6.94,0.88,0.26,85,1
5018,8.2,13.56,1.04,0.606,420,0
5019,9.5,20.02,1.32,0.907,682,0
5020,8.53,2.57,0.97,0.226,2,0
5021,8.17,4.33,0.8,1.127,674,0
5022,6.61,5.23,0.78,0.137,30,1
5023,10.78,1.78,5.84,0.45,866,0
5024,8.68,5.22,0.88,0.415,292,1
5025,8.62,2.53,1.08,0.877,575,0
5026,7.59,5.78,0.75,0.106,39,1
5027,6.64,3.39,0.78,1.548,735,0
5028,7.97,8.44,0.88,0.515,366,0
5029,10.05,4.5,2.13,0.557,420,0
5030,9.4,8.99,1.06,0.559,398,1
5031,6.14,8.91,0.75,0.962,575,0
5032,7.75,4.57,1.44,1.108,610,0
5033,8.45,2.74,1.11,1.093,633,0
5034,9.59,1.31,1.48,1.062,609,0
5035,7.22,17.23,0.8,0.448,398,1
5036,9.27,1.74,2.54,0.463,209,1
5037,6.93,15.31,0.93,0.301,292,1
5038,7.52,6.37,0.94,0.587,445,1
5039,9.26,1.94,1.16,0.083,2,0
5040,8.14,6.78,1.1,1.068,668,0
5041,7.95,6.12,0.97,1.067,636,0
5042,9.18,2.16,1.2,0.193,39,1
5043,11.45,45.25,2.56,1.473,808,0
5044,7.7,8.94,1.01,0.314,55,1
5045,8.72,5.69,1.1,0.462,317,1
5046,8.69,1.04,1.35,1.533,738,0
5047,7.17,6.23,0.94,1.002,561,0
5048,8.2,9.29,2.02,0.4,317,1
5049,9.61,7.31,1.41,0.366,292,1
5050,9.16,0.98,1.17,1.187,658,0
5051,7.91,3.03,0.95,1.423,738,0
5052,8.84,33.97,1.07,0.925,682,0
5053,8.83,2.53,1.14,1.123,609,0
5054,7.51,4.59,0.91,0.1,39,1
5055,7.77,7.56,1.08,0.856,530,0
5056,7.59,3.82,0.62,1.341,698,0
5057,8.38,2.92,0.71,0.123,2,0
5058,8.92,3.9,1.2,0.374,366,0
5059,7.97,10.04,1.05,0.216,55,1
5060,6.87,4.65,0.68,0.002,48,1
5061,6.63,8.91,0.61,0.164,39,1
5062,10.27,9.49,1.85,0.542,390,0
5063,9.73,7.98,1.22,1.056,561,0
5064,7.86,3.24,1.08,1.386,609,0
5065,8.03,0.65,1.1,0.091,2,0
5066,8.56,2.42,0.88,1.347,687,0
5067,7.54,-0.2,0.84,1.476,453,0
5068,6.41,10.26,0.67,1.188,700,0
5069,9.38,6.04,1.21,0.338,137,1
5070,10.37,2.62,1.32,0.84,507,0
5071,8.75,3.57,1.2,0.224,39,1
5072,7.22,12.95,1.28,0.334,327,1
5073,8.96,18.53,2.04,0.84,609,0
5074,9.26,1.4,1.37,1.15,609,0
5075,9.0,66.44,1.27,1.289,761,0
5076,6.99,3.63,0.82,0.96,507,0
5077,7.57,8.67,0.84,0.528,431,0
5078,8.78,0.64,1.29,1.427,609,0
5079,6.31,2.4,0.73,1.499,609,0
5080,7.64,7.05,0.79,0.092,2,0
5081,8.89,10.6,1.27,0.764,445,1
5082,7.02,20.28,1.29,0.56,367,1
5083,7.48,2.08,1.1,1.185,668,0
5084,8.65,6.57,1.05,0.419,317,1
5085,6.36,13.96,0.9,0.238,61,1
5086,8.98,2.11,1.19,1.105,609,0
5087,9.33,1.05,12.73,1.364,771,0
5088,6.81,5.92,0.87,-0.031,2,0
5089,8.71,1.28,1.11,1.128,685,0
5090,8.81,9.75,1.52,0.679,479,0
5091,7.48,4.18,0.92,1.437,609,0
5092,11.43,20.55,1.5,1.54,771,0
5093,10.27,-1.88,1.24,0.099,248,1
5094,5.36,11.68,0.5,0.884,518,0
5095,7.26,12.19,0.81,0.403,366,1
5096,7.14,3.67,0.77,-0.037,253,1
5097,8.09,11.11,1.0,0.417,366,0
5098,9.48,5.77,1.31,0.48,317,1
5099,10.58,21.02,1.61,1.009,738,0
5100,8.13,2.08,0.7,1.238,698,0
5101,8.0,0.77,1.09,1.605,738,0
5102,7.24,19.97,0.85,0.541,366,1
5103,9.05,6.92,1.22,0.446,420,0
5104,8.73,1.18,0.82,1.349,685,0
5105,8.97,2.83,1.32,1.158,609,0
5106,7.01,29.66,0.71,0.567,431,0
5107,9.31,2.4,1.19,1.37,609,0
5108,10.27,3.21,1.75,0.238,310,1
5109,9.16,1.13,1.16,1.478,771,0
5110,9.32,0.76,1.32,0.395,310,1
5111,8.44,3.53,1.01,1.194,507,0
5112,8.41,48.2,1.06,1.122,737,0
5113,7.97,1.52,1.08,1.077,575,0
5114,10.28,1.16,1.57,0.891,445,1
5115,8.28,0.98,1.07,0.944,581,0
5116,8.53,4.41,1.09,0.28,39,1
5117,7.93,14.15,1.45,0.775,591,0
5118,8.32,5.34,1.07,0.448,343,1
5119,8.87,2.78,1.14,1.188,609,0
5120,7.71,1.75,1.01,1.329,609,0
5121,9.26,12.39,1.45,0.589,465,0
5122,5.71,20.97,0.66,0.446,412,1
5123,9.31,3.42,1.7,0.487,366,0
5124,7.26,5.39,0.8,0.032,39,1
5125,8.71,5.93,0.98,1.141,633,0
5126,5.21,16.48,0.61,0.159,65,1
5127,8.45,18.19,0.96,0.662,445,1
5128,8.32,9.71,0.85,0.591,479,0
5129,7.41,4.68,2.28,1.19,711,0
5130,8.03,16.81,1.01,0.725,518,0
5131,9.7,10.31,2.72,0.716,591,0
5132,9.34,9.42,1.1,0.645,500,0
5133,8.56,3.36,1.08,0.1,242,1
5134,9.72,4.92,2.96,0.914,589,0
5135,7.69,7.91,0.98,0.387,292,1
5136,5.56,20.23,0.81,0.121,65,1
5137,9.37,11.39,1.35,0.561,455,0
5138,9.07,2.23,1.33,0.094,2,0
5139,8.77,1.31,1.14,1.326,658,0
5140,7.78,26.8,0.9,0.621,465,0
5141,6.44,21.53,0.83,0.847,646,0
