,Vmag,Plx,e_Plx,B-V,SpType
4339,7.02,8.41,1.01,1.099,698
4340,9.54,3.83,1.55,1.311,609
4341,7.64,3.91,0.93,-0.042,22
4342,8.74,-0.73,1.49,1.021,581
4343,8.65,5.99,1.1,0.37,317
4344,8.19,3.61,1.11,0.967,507
4345,8.61,3.09,0.96,1.039,633
4346,8.61,11.16,1.47,0.572,431
4347,8.15,0.47,1.09,1.376,698
4348,8.66,9.73,1.14,0.454,420
4349,6.92,7.64,1.14,0.082,47
4350,8.15,4.44,0.94,1.045,561
4351,10.35,0.83,1.81,0.512,317
4352,8.79,5.56,0.83,0.314,310
4353,6.1,7.42,0.79,1.028,698
4354,6.97,3.16,0.85,1.19,507
4355,8.41,2.53,1.15,1.342,698
4356,9.46,5.92,1.49,1.029,609
4357,7.99,6.58,0.9,0.464,420
4358,7.6,11.98,1.23,0.418,333
4359,9.98,-1.96,1.87,0.343,333
4360,8.11,3.2,1.02,1.446,758
4361,9.57,3.55,1.48,0.448,378
4362,7.74,2.08,0.71,1.11,633
4363,5.44,4.63,0.74,1.076,549
4364,6.56,5.19,0.96,1.004,507
4365,7.17,3.81,0.97,0.823,496
4366,8.76,-0.82,0.91,1.483,811
4367,8.47,2.92,0.89,1.289,698
4368,8.32,4.41,0.95,0.407,39
4369,8.76,6.18,1.05,0.537,420
4370,7.21,7.94,0.88,1.246,719
4371,8.71,2.67,1.04,1.475,738
4372,7.49,6.64,0.66,0.14,2
4373,6.3,6.24,0.82,0.895,575
4374,9.39,12.49,1.52,0.734,591
4375,8.46,3.76,0.86,0.117,2
4376,7.3,4.2,0.84,0.11,39
4377,9.03,4.2,0.94,0.461,416
4378,7.75,14.44,0.98,0.418,297
4379,7.86,5.98,1.04,1.269,609
4380,8.24,3.5,0.76,1.062,668
4381,8.64,5.81,1.09,0.312,310
4382,7.89,1.18,1.06,1.475,609
4383,8.48,0.38,1.24,1.54,731
4384,8.56,13.97,1.12,0.696,451
4385,9.33,2.8,1.22,0.15,170
4386,7.39,5.47,0.95,0.278,292
4387,9.57,4.63,1.31,0.38,310
4388,8.71,4.02,0.99,0.191,39
4389,8.18,14.75,1.1,0.559,382
4390,8.47,9.69,1.07,0.463,382
4391,8.14,1.15,0.94,0.02,163
4392,8.89,6.9,1.22,0.443,354
4393,11.56,4.88,1.82,0.404,112
4394,7.07,17.11,2.07,0.455,138
4395,6.55,5.27,0.87,1.152,609
4396,9.81,0.93,1.43,0.277,115
4397,9.36,4.65,1.37,0.493,382
4398,9.78,8.57,1.08,0.574,445
4399,8.37,3.14,1.14,1.109,633
4400,8.49,5.67,0.78,0.426,326
4401,7.89,6.87,1.2,1.115,668
4402,8.57,0.62,1.05,1.233,609
4403,6.97,4.19,0.63,-0.054,253
4404,8.73,3.17,1.19,1.01,575
4405,5.99,17.19,0.83,1.0,609
4406,9.14,0.77,1.36,1.603,771
4407,7.23,6.86,0.94,0.209,55
4408,7.72,2.05,0.92,1.375,609
4409,8.4,2.9,1.08,1.264,698
4410,8.0,3.88,0.91,0.271,80
4411,6.47,7.62,1.03,0.089,47
4412,6.74,5.0,0.86,1.063,507
4413,8.88,2.54,1.01,0.0,30
4414,9.49,3.89,1.31,1.147,654
4415,9.15,2.66,1.08,0.281,39
4416,6.23,5.85,0.56,0.096,139
4417,9.8,3.53,1.6,0.574,420
4418,9.01,6.31,1.31,0.944,507
4419,7.33,10.8,0.84,0.499,420
4420,7.74,-0.48,0.8,0.554,166
4421,9.67,10.99,1.73,0.45,591
4422,8.39,4.25,1.09,0.924,507
4423,7.36,2.14,0.87,1.534,745
4424,5.97,8.67,0.6,-0.008,7
4425,7.84,4.28,1.03,1.0,609
4426,8.92,2.04,1.19,0.974,609
4427,9.52,9.2,1.21,0.444,382
4428,4.3,4.85,0.84,-0.154,235
4429,9.86,2.08,1.54,1.186,507
4430,8.97,4.69,1.32,0.353,366
4431,8.36,5.78,1.2,0.7,317
4432,7.58,5.63,1.38,0.4,507
4433,7.57,16.31,0.88,0.503,420
4434,8.03,0.21,0.98,0.014,2
4435,6.84,3.74,0.82,-0.1,2
4436,7.12,2.53,0.86,1.6,784
4437,10.8,1.06,2.23,0.669,440
4438,5.62,10.35,0.96,0.949,559
4439,7.53,2.45,0.87,1.419,719
4440,8.7,4.29,1.26,1.305,738
4441,8.41,0.09,1.05,1.498,685
4442,8.26,2.2,0.8,1.579,740
4443,6.57,11.03,0.79,1.136,609
4444,8.94,5.97,1.42,0.409,310
4445,9.05,9.0,1.59,0.516,382
4446,8.83,7.28,1.31,1.054,507
4447,9.78,7.92,1.66,0.515,390
4448,7.75,1.64,0.95,0.449,39
4449,8.68,8.22,1.26,0.444,366
4450,9.31,4.29,1.31,0.2,75
4451,9.95,2.69,1.72,0.456,331
4452,8.58,6.32,1.13,0.04,292
4453,7.64,5.07,1.0,0.94,633
4454,9.21,7.57,1.28,0.574,424
4455,6.99,2.88,0.88,1.382,719
4456,7.53,0.23,0.89,1.618,685
4457,9.5,3.01,1.28,0.645,371
4458,9.1,5.76,1.17,0.503,416
4459,7.37,4.77,0.84,0.177,39
4460,8.0,14.47,1.12,0.5,366
4461,8.71,2.42,1.18,1.163,609
4462,8.88,1.86,0.86,0.181,2
4463,10.77,-1.38,1.79,0.499,366
4464,7.86,21.38,0.71,0.557,420
4465,7.78,8.38,0.73,1.085,668
4466,7.65,12.6,1.19,0.513,366
4467,8.9,3.29,1.24,1.16,685
4468,8.3,1.2,1.21,1.489,791
4469,9.33,5.13,1.0,0.539,398
4470,8.91,-1.6,1.6,0.739,507
4471,7.66,2.43,1.07,1.437,744
4472,9.52,3.09,1.32,0.529,371
4473,8.55,2.18,1.45,0.223,2
4474,8.4,-0.77,1.1,1.441,685
4475,7.67,3.59,0.92,0.965,593
4476,9.88,2.89,1.32,0.533,420
4477,7.53,8.93,0.91,0.174,2
4478,9.68,3.92,1.41,0.314,137
4479,10.49,3.22,1.96,0.45,366
4480,8.46,0.39,1.05,0.02,253
4481,9.09,3.58,1.48,1.205,575
4482,8.93,3.85,0.83,0.218,39
4483,8.27,2.44,1.47,1.129,609
4484,6.9,17.31,0.84,0.41,366
4485,8.05,9.67,1.51,0.609,452
4486,8.59,3.73,1.28,0.127,253
4487,8.66,10.55,2.18,0.765,507
4488,8.6,0.63,1.17,1.258,609
4489,10.56,20.85,2.04,1.086,737
4490,10.99,4.66,2.17,0.735,507
4491,9.53,9.78,1.3,0.817,530
4492,8.22,11.92,0.95,0.592,420
4493,8.87,8.72,2.16,0.592,465
4494,7.69,4.69,0.85,1.004,609
4495,7.51,4.76,0.98,1.473,737
4496,8.85,8.89,1.16,0.488,416
4497,8.51,7.57,1.16,0.728,445
4498,11.94,-7.16,5.9,1.5,807
4499,8.36,2.27,1.02,1.457,687
4500,9.69,7.73,1.57,0.748,500
4501,6.14,3.07,0.81,1.654,798
4502,8.85,2.74,1.37,0.935,633
4503,7.41,3.56,0.87,1.179,507
4504,7.39,1.3,0.84,1.579,811
4505,9.93,8.62,1.7,0.5,445
4506,8.68,3.65,1.61,0.388,366
4507,8.85,2.7,1.13,1.029,507
4508,9.06,4.63,1.4,0.513,398
4509,9.23,12.36,1.33,0.737,532
4510,9.17,3.21,1.31,1.188,685
4511,8.71,1.19,0.8,0.864,575
4512,9.6,6.46,2.41,0.5,479
4513,9.26,16.85,1.07,0.831,555
4514,8.93,2.39,1.34,0.956,565
4515,7.8,2.42,0.96,1.271,507
4516,9.36,5.32,1.09,0.662,465
4517,7.13,2.32,0.79,-0.104,238
4518,9.35,19.87,2.56,0.821,651
4519,7.09,6.89,0.76,0.969,571
4520,5.69,7.76,1.11,-0.01,258
4521,7.35,10.98,0.85,0.46,366
4522,7.62,2.64,1.17,1.503,685
4523,9.42,4.32,1.12,0.623,465
4524,8.87,1.35,1.26,0.071,253
4525,9.22,0.3,1.11,0.138,253
4526,9.63,2.45,1.38,0.097,253
4527,8.69,2.24,1.16,0.157,209
4528,8.03,7.15,0.74,0.444,344
4529,10.15,6.36,1.75,0.467,445
4530,7.56,3.39,0.81,1.169,614
4531,9.2,9.75,1.17,0.542,420
4532,8.05,4.79,1.05,0.402,80
4533,7.28,4.07,0.9,1.436,685
4534,7.34,6.54,0.97,1.073,507
4535,9.96,30.39,1.75,1.107,685
4536,9.04,9.78,1.2,0.52,455
4537,10.59,3.76,1.5,0.73,507
4538,8.45,2.38,1.07,1.053,633
4539,7.65,7.8,1.01,0.177,39
4540,7.25,10.89,1.03,1.019,698
4541,7.91,4.08,0.79,1.045,633
4542,9.27,3.45,0.98,1.065,633
4543,10.06,23.96,1.65,1.047,727
4544,10.71,7.87,1.73,0.56,420
4545,9.2,2.02,0.96,0.161,78
4546,8.01,12.39,1.09,0.657,500
4547,6.83,3.19,0.9,1.372,685
4548,6.67,9.17,0.56,0.393,317
4549,7.16,6.94,1.26,1.099,507
4550,8.96,-0.09,1.27,0.978,507
4551,7.77,2.75,1.07,1.391,818
4552,8.11,13.43,1.05,0.488,382
4553,6.4,9.18,0.62,0.135,73
4554,7.21,6.74,0.9,0.13,2
4555,8.35,6.22,3.16,0.413,116
4556,8.32,1.73,0.99,0.976,609
4557,7.12,4.52,0.73,0.197,55
4558,8.36,1.96,0.89,0.201,253
4559,8.09,6.64,1.21,0.992,507
4560,7.34,6.83,0.94,0.975,425
4561,8.44,2.05,0.97,0.238,139
4562,9.04,4.32,1.28,0.47,344
4563,6.99,4.33,0.78,1.428,735
4564,10.11,10.79,1.68,0.76,609
4565,7.88,5.78,1.04,0.383,310
4566,9.46,3.73,1.18,0.648,500
4567,7.34,7.68,0.86,0.402,354
4568,7.22,4.29,0.89,1.273,668
4569,6.85,1.79,0.81,1.6,818
4570,9.56,20.54,1.42,0.877,445
4571,8.36,2.65,2.09,0.427,292
4572,9.87,9.02,1.59,0.51,416
4573,8.82,7.2,1.21,0.422,354
4574,8.97,2.99,1.04,1.136,668
4575,10.33,4.69,1.81,0.486,420
4576,8.27,3.1,1.05,0.394,317
4577,9.24,3.1,1.25,0.6,80
4578,8.77,1.59,1.07,1.332,685
4579,7.4,5.57,0.88,0.221,55
4580,7.74,11.34,1.12,0.543,366
4581,8.98,5.03,1.53,0.564,420
4582,9.56,10.44,1.44,0.555,424
4583,9.46,3.14,1.2,1.212,609
4584,7.68,11.92,0.92,0.876,609
4585,9.69,4.1,1.65,0.939,654
4586,7.67,3.29,0.89,-0.046,186
4587,8.32,2.14,0.97,1.506,735
4588,7.34,24.76,0.86,0.547,420
4589,9.4,4.68,1.27,1.0,609
4590,8.62,14.22,1.17,0.756,575
4591,8.26,8.11,1.06,0.409,292
4592,8.94,10.96,1.2,0.762,507
4593,8.82,3.49,1.32,0.541,382
4594,10.65,6.62,1.83,0.54,867
4595,8.11,5.65,1.7,0.52,376
4596,8.27,1.48,1.15,1.388,719
4597,8.47,4.18,0.9,0.321,39
4598,8.22,0.21,0.94,0.108,39
4599,8.84,1.38,1.12,1.009,685
4600,9.1,1.06,1.34,0.082,2
4601,7.95,1.76,1.06,1.631,738
4602,9.67,2.45,1.51,1.249,668
4603,8.1,3.04,0.97,1.022,507
4604,9.43,16.47,2.47,0.668,651
4605,8.14,2.53,1.06,1.068,507
4606,7.66,3.87,0.88,0.034,2
4607,9.34,3.04,1.45,0.856,518
4608,11.42,-6.63,3.8,0.041,10
4609,12.63,11.17,3.61,-0.241,145
4610,5.59,5.19,0.77,1.185,668
4611,6.86,6.5,0.83,0.897,577
4612,6.91,22.23,0.64,0.65,460
4613,8.1,8.78,1.08,0.41,333
4614,7.87,13.85,1.51,0.558,366
4615,7.66,1.53,0.99,1.405,719
4616,9.09,7.29,1.21,0.601,366
4617,7.53,1.32,0.87,1.57,609
4618,9.09,4.11,1.26,0.386,291
4619,8.93,4.14,1.24,0.353,310
4620,8.78,6.93,1.71,0.429,382
4621,9.5,1.51,1.35,0.255,253
4622,8.85,5.93,1.14,0.516,420
4623,8.47,2.28,1.0,1.537,745
4624,7.87,2.06,1.09,0.982,507
4625,6.48,3.54,0.75,1.099,507
4626,8.79,3.0,1.34,0.293,80
4627,8.96,7.52,1.29,0.574,366
4628,6.67,2.8,1.06,0.019,253
4629,8.86,2.9,1.31,1.138,685
4630,8.91,2.14,1.06,1.072,609
4631,9.13,1.79,1.38,1.259,685
4632,7.76,5.33,0.71,1.095,668
4633,6.61,13.28,0.79,0.905,642
4634,8.95,8.28,0.99,0.473,317
4635,7.22,2.85,0.85,1.618,685
4636,8.19,5.84,1.01,1.085,609
4637,8.85,0.72,1.31,0.836,507
4638,9.66,3.53,1.48,0.47,333
4639,7.77,4.14,0.69,0.399,366
4640,6.47,11.76,0.87,1.184,687
4641,8.49,6.95,0.73,0.456,343
4642,8.42,1.43,1.09,1.218,609
4643,7.75,6.33,0.99,0.86,445
4644,8.41,5.88,0.88,0.341,310
4645,7.83,7.81,0.97,0.954,507
4646,7.94,13.98,0.87,0.407,354
4647,8.94,1.65,1.04,1.157,738
4648,6.71,13.94,0.9,0.783,586
4649,8.9,6.08,1.0,0.459,445
4650,6.77,1.79,0.72,0.28,39
4651,7.73,11.21,0.9,0.389,366
4652,8.87,2.95,1.22,1.3,738
4653,10.14,2.5,1.63,0.516,371
4654,8.23,16.58,1.07,0.626,530
4655,8.19,4.73,0.91,0.42,292
4656,8.12,5.94,1.05,1.172,668
4657,8.39,2.57,0.9,1.05,646
4658,9.75,4.53,1.55,0.354,310
4659,8.03,6.42,0.92,0.469,420
4660,8.7,4.63,0.82,0.877,586
4661,8.6,5.09,1.37,0.448,354
4662,8.9,4.39,1.91,0.2,420
4663,10.49,32.06,2.18,1.226,752
4664,7.6,9.44,1.08,0.492,398
4665,8.44,9.13,1.12,0.289,310
4666,8.98,1.08,1.13,1.257,564
4667,8.12,4.45,0.85,0.436,301
4668,6.12,8.86,0.55,0.935,575
4669,8.33,10.9,0.94,0.598,449
4670,9.61,6.01,1.33,0.523,416
4671,8.27,12.5,1.0,0.577,500
4672,7.55,4.5,0.89,1.088,507
4673,6.71,6.94,0.71,1.109,668
4674,9.07,6.72,1.03,0.543,398
4675,8.1,3.13,1.06,1.107,633
4676,8.81,5.55,1.17,0.511,390
4677,8.64,2.92,1.12,1.044,507
4678,7.79,5.54,0.82,0.334,333
4679,9.13,2.03,1.14,1.206,685
4680,8.82,6.68,1.25,0.525,445
4681,7.79,2.2,1.13,1.357,609
4682,6.9,4.84,0.54,0.01,575
4683,6.48,5.16,0.8,0.122,65
4684,10.06,46.22,4.48,1.365,761
4685,9.55,0.38,1.3,1.389,738
4686,8.62,2.91,0.96,0.918,581
4687,9.66,11.5,2.29,0.69,530
4688,8.16,46.61,1.61,1.008,685
4689,7.79,3.69,0.92,1.157,668
4690,9.93,0.59,1.48,0.094,2
4691,5.5,14.39,0.73,0.083,23
4692,9.0,-0.32,1.35,-0.033,2
4693,9.34,0.7,1.37,1.171,685
4694,7.91,31.35,1.28,0.799,651
4695,8.49,7.71,1.05,0.45,420
4696,9.98,122.77,1.23,1.501,809
4697,7.08,9.25,0.81,0.287,292
4698,9.95,6.35,1.83,0.82,445
4699,10.08,7.65,1.6,0.831,507
4700,9.38,2.68,1.17,0.068,47
4701,8.37,1.17,1.13,0.282,39
4702,7.92,6.85,1.02,0.305,80
4703,8.46,15.3,0.88,0.619,465
4704,8.55,5.05,1.14,0.302,80
4705,8.91,0.22,1.13,1.002,507
4706,9.02,3.68,1.21,0.96,586
4707,6.88,22.39,0.87,0.448,416
4708,7.24,1.96,0.57,1.39,697
4709,7.83,1.92,0.86,1.481,709
4710,9.37,6.49,1.73,0.772,589
4711,9.56,99.44,1.39,1.463,754
4712,8.58,5.13,0.91,1.29,719
4713,9.84,22.04,1.68,0.919,709
4714,7.39,1.54,0.84,0.033,2
4715,9.64,5.79,1.32,0.519,398
4716,6.83,16.55,0.78,0.498,366
4717,6.25,4.06,0.6,1.634,798
4718,8.69,2.19,0.8,1.126,614
4719,8.57,2.27,1.08,0.818,507
4720,7.7,20.35,0.78,0.591,455
4721,9.07,1.75,1.24,1.705,738
4722,9.4,5.37,1.25,0.432,366
4723,9.13,6.73,1.26,0.526,382
4724,9.52,11.43,1.69,0.77,507
4725,8.54,6.06,1.1,0.397,292
4726,8.02,4.7,1.92,0.07,2
4727,5.5,7.87,0.68,-0.043,257
4728,5.39,13.86,0.61,0.9,575
4729,7.83,1.23,1.04,-0.018,2
4730,8.52,16.88,1.07,0.572,530
4731,7.21,14.49,0.94,0.406,354
4732,7.25,3.65,0.77,0.914,609
4733,9.4,9.99,1.31,0.598,530
4734,8.8,2.51,1.09,0.17,241
4735,8.19,3.68,0.88,1.138,674
4736,10.81,24.14,2.69,1.47,771
4737,8.4,2.56,1.05,1.019,581
4738,7.8,2.77,0.99,1.208,698
4739,6.84,0.89,1.3,-0.019,209
4740,5.95,9.49,0.86,0.161,94
4741,8.29,14.9,0.85,0.543,420
4742,8.49,2.8,1.0,1.005,575
4743,4.27,17.14,0.81,0.952,633
4744,7.67,38.73,0.78,0.756,507
4745,8.16,0.89,1.0,1.565,738
4746,8.52,18.29,1.35,0.649,445
4747,8.61,2.9,1.1,1.337,719
4748,6.46,9.68,1.01,0.248,137
4749,8.56,2.67,1.22,1.04,609
4750,8.44,2.82,1.02,-0.004,2
4751,5.4,7.95,0.86,1.106,636
4752,8.05,2.55,0.91,1.078,609
4753,8.03,3.0,0.75,0.115,2
4754,8.95,8.88,1.23,0.625,479
4755,7.39,0.43,0.93,1.53,771
4756,8.09,1.04,0.96,0.013,209
4757,9.53,2.71,1.28,1.387,710
4758,9.59,3.26,1.37,0.407,333
4759,8.75,2.05,1.45,0.944,507
4760,9.05,0.92,0.92,1.588,738
4761,8.98,0.78,1.4,1.6,740
4762,8.68,9.91,1.15,0.45,333
4763,7.96,4.48,0.69,1.07,561
4764,9.1,2.01,1.08,0.081,2
4765,11.36,61.23,5.26,1.59,769
4766,9.41,3.28,1.5,1.066,685
4767,7.99,3.39,1.31,0.983,586
4768,9.01,-1.8,1.34,1.547,771
4769,6.28,8.93,0.9,0.932,583
4770,6.81,12.44,1.11,0.48,382
4771,8.09,1.94,1.05,0.821,604
4772,6.99,1.98,0.75,1.59,811
4773,9.29,5.16,1.35,0.4,310
4774,7.69,3.98,0.96,1.143,507
4775,7.53,2.76,0.86,1.468,719
4776,9.25,1.18,1.17,1.403,719
4777,9.56,10.04,1.56,0.528,420
4778,8.4,3.24,1.51,0.379,366
4779,10.54,3.24,2.12,0.54,445
4780,8.85,3.69,1.01,0.388,366
4781,7.96,-0.24,0.93,1.591,685
4782,8.96,0.66,1.23,1.655,738
4783,9.08,5.41,1.2,0.333,55
4784,8.67,3.43,1.19,1.015,609
4785,8.03,3.64,0.98,0.034,2
4786,9.2,11.52,1.55,0.665,500
4787,7.8,11.18,0.99,0.775,445
4788,9.08,3.46,1.27,0.063,2
4789,9.75,15.12,1.49,0.814,586
4790,9.27,6.03,1.22,0.829,238
4791,9.01,2.09,1.23,1.96,752
4792,8.16,9.03,1.02,0.418,292
4793,8.86,14.08,1.18,0.552,483
4794,8.98,3.54,1.3,0.569,416
4795,8.6,2.45,1.22,0.741,523
4796,5.92,2.16,0.87,0.512,299
4797,6.75,2.8,0.73,1.688,738
4798,8.14,9.72,1.32,0.56,445
4799,11.62,9.66,17.61,1.124,766
4800,6.74,6.67,0.56,0.246,366
4801,8.44,22.56,0.73,0.6,507
4802,7.74,4.51,1.07,0.337,80
4803,10.02,5.8,1.46,0.787,609
4804,8.69,0.2,1.0,-0.157,366
4805,8.22,3.08,2.82,0.064,2
4806,8.84,8.04,1.01,0.412,354
4807,8.54,1.4,0.69,-0.035,242
4808,8.78,11.36,5.31,0.529,371
4809,8.86,1.8,1.21,1.207,685
4810,9.44,8.7,2.87,0.714,507
4811,8.26,4.01,1.09,1.194,701
4812,7.07,6.93,1.14,0.094,2
4813,10.16,3.25,1.61,0.692,458
4814,6.06,17.66,0.72,0.271,316
4815,9.11,17.37,1.27,0.577,500
4816,8.1,3.67,0.89,1.05,507
4817,6.82,1.13,0.79,-0.055,190
4818,9.75,5.84,1.26,0.498,420
4819,7.03,5.43,1.12,0.147,62
4820,10.21,-0.78,1.7,0.912,468
4821,7.69,6.32,0.95,1.238,609
4822,8.42,2.18,1.09,0.979,507
4823,7.19,16.66,0.89,0.442,420
4824,7.2,2.67,1.03,0.232,55
4825,8.71,1.47,1.0,1.259,687
4826,8.93,2.28,1.26,1.071,609
4827,9.01,2.93,1.29,0.101,47
4828,7.92,4.14,1.01,1.12,507
4829,9.24,1.13,1.21,-0.062,272
4830,9.19,0.18,1.28,1.647,738
4831,7.28,11.96,0.84,0.446,382
4832,5.99,3.29,0.69,1.447,685
4833,9.1,2.83,1.15,0.356,292
4834,8.26,0.72,1.04,0.47,177
4835,9.35,2.9,1.42,0.042,2
4836,7.14,2.38,0.82,1.655,811
4837,9.9,3.39,1.57,0.499,382
4838,10.25,16.28,1.76,0.764,526
4839,7.74,4.57,0.92,1.032,609
4840,8.78,6.96,1.14,0.432,382
4841,8.26,4.64,2.05,0.96,480
4842,9.4,2.55,1.08,0.308,2
4843,8.75,6.82,1.12,0.851,591
4844,9.33,5.81,1.28,0.531,382
4845,8.24,13.66,0.92,0.489,420
4846,7.04,5.52,0.75,1.017,572
4847,9.25,8.33,1.14,0.698,500
4848,8.61,0.99,1.03,0.444,241
4849,6.84,16.06,0.71,0.528,445
4850,8.18,3.13,0.89,1.486,738
4851,11.56,17.76,2.65,1.61,771
4852,8.97,6.02,1.26,0.481,382
4853,8.92,6.21,1.18,0.843,575
4854,5.83,12.47,0.63,0.569,398
4855,8.96,5.2,1.26,0.611,479
4856,12.06,9.3,3.7,-0.242,145
4857,8.23,7.28,0.98,0.337,317
4858,8.51,8.56,1.02,0.54,445
4859,6.84,2.47,0.73,1.596,784
4860,9.78,38.99,1.88,1.194,732
4861,7.97,9.31,1.04,0.321,292
4862,7.54,4.23,0.82,0.086,253
4863,9.96,-0.79,1.91,0.388,310
4864,9.15,25.48,1.14,0.801,507
4865,8.73,3.91,1.12,0.563,420
4866,6.2,23.82,0.87,0.443,413
4867,8.53,7.56,1.14,0.307,39
4868,8.75,4.47,1.83,0.505,371
4869,8.91,2.73,1.14,1.095,507
4870,8.95,1.64,0.91,1.592,796
4871,8.17,3.41,0.78,1.014,560
4872,8.79,6.71,1.16,0.831,507
4873,10.02,34.39,1.68,1.28,738
4874,6.44,6.3,2.07,1.071,633
4875,7.61,3.45,0.66,1.185,658
4876,9.58,4.86,3.34,1.011,609
4877,6.77,11.85,0.88,0.328,311
4878,8.24,11.53,1.14,0.52,398
4879,8.44,10.4,0.98,0.538,420
4880,8.21,3.75,0.99,1.151,609
4881,9.52,3.61,1.37,0.448,420
4882,8.83,2.37,1.62,1.083,581
4883,9.42,6.37,2.74,0.519,398
4884,8.27,1.73,1.11,0.956,507
4885,9.49,2.34,1.22,1.015,609
4886,7.72,24.8,0.89,0.613,498
4887,7.07,1.68,0.86,1.607,685
4888,9.46,2.1,1.54,0.58,479
4889,10.71,4.07,1.91,0.665,445
4890,9.35,1.11,1.11,1.022,633
4891,9.19,7.22,1.27,0.596,500
4892,7.21,7.72,0.84,1.195,609
4893,8.97,13.64,1.3,0.564,416
4894,6.53,3.06,0.76,-0.081,204
4895,8.47,7.03,1.06,0.402,333
4896,8.99,6.49,1.5,0.45,317
4897,9.4,6.3,1.42,0.51,431
4898,8.19,2.95,0.66,0.073,30
4899,7.92,3.83,0.83,0.186,2
4900,7.5,8.63,1.04,0.488,371
4901,8.98,1.85,1.41,1.217,668
4902,6.82,2.09,0.61,0.044,2
4903,7.7,8.57,0.96,1.084,507
4904,8.62,4.02,1.13,1.018,507
4905,7.93,13.07,1.1,0.543,420
4906,6.03,4.52,0.87,1.525,745
4907,7.2,3.12,0.91,1.673,798
4908,10.44,1.95,1.82,0.486,402
4909,9.81,2.02,1.11,0.312,2
4910,7.77,10.25,0.91,0.403,366
4911,10.79,0.55,2.43,0.594,445
4912,7.3,3.27,1.06,1.078,633
4913,5.64,18.28,0.79,0.42,360
4914,7.37,4.22,0.67,1.086,719
4915,8.7,4.38,1.24,1.1,609
4916,7.86,3.81,0.92,0.941,575
4917,7.37,4.73,0.58,1.08,633
4918,8.09,8.42,0.83,0.453,382
4919,9.22,3.83,1.45,0.864,554
4920,9.65,3.68,1.44,0.975,609
4921,9.02,0.78,1.27,1.053,609
4922,8.91,3.21,1.35,0.37,310
4923,7.44,2.43,0.89,1.567,770
4924,10.59,0.57,1.64,0.0,2
4925,8.58,2.87,1.95,0.233,43
4926,7.82,2.43,0.71,0.182,90
4927,11.23,10.74,2.25,1.106,730
4928,9.19,2.19,1.34,0.282,137
4929,9.3,10.02,1.27,0.449,386
4930,9.78,9.26,1.19,0.617,492
4931,7.18,18.21,0.82,0.421,354
4932,11.16,5.46,6.54,0.264,860
4933,8.82,6.65,1.12,1.199,609
4934,8.76,2.22,1.13,1.243,507
4935,7.92,2.03,1.02,1.134,507
4936,7.65,1.89,0.99,0.785,500
4937,7.89,1.59,1.03,1.375,698
4938,8.29,18.19,0.98,0.6,445
4939,8.17,2.8,0.75,1.109,575
4940,7.96,3.78,0.66,0.024,2
4941,9.57,3.59,1.22,0.579,398
4942,8.66,37.6,2.02,1.197,709
4943,8.26,2.09,1.11,1.526,771
4944,9.17,7.86,1.0,0.487,507
4945,7.96,2.91,0.61,-0.064,143
4946,10.08,22.78,1.2,0.964,771
4947,9.2,11.63,3.08,0.809,609
4948,9.21,3.97,1.4,0.533,398
4949,8.43,5.22,0.97,0.376,317
4950,8.14,6.54,1.22,0.388,331
4951,9.68,-0.1,1.46,1.249,685
4952,9.6,5.24,1.42,0.083,253
4953,6.09,10.58,0.72,1.012,633
4954,8.77,11.19,0.83,0.762,507
4955,8.88,3.96,1.03,1.043,685
4956,9.69,2.8,1.12,1.258,721
4957,8.84,2.79,1.5,0.4,354
4958,9.01,1.43,0.91,1.06,575
4959,10.4,4.29,1.75,0.474,340
4960,9.06,3.25,0.91,0.834,518
4961,9.31,9.35,1.26,0.539,431
4962,5.33,13.67,1.47,0.003,31
4963,5.55,14.67,1.72,-0.048,16
4964,7.3,6.95,1.04,1.131,609
4965,8.97,15.81,1.16,0.644,507
4966,8.29,5.67,0.98,0.911,672
4967,9.58,15.62,1.53,0.749,591
4968,8.3,10.9,1.14,0.501,382
4969,10.68,-2.12,3.61,0.945,434
4970,8.28,4.03,0.91,0.148,65
4971,6.35,21.87,1.03,0.383,365
4972,9.04,6.58,2.55,0.36,455
4973,8.06,0.86,0.94,1.318,685
4974,8.51,5.78,1.43,0.36,137
4975,8.21,9.43,0.97,0.543,317
4976,7.26,22.69,1.03,0.484,398
4977,9.23,4.79,1.45,0.377,137
4978,7.26,3.97,0.76,0.104,238
4979,7.64,4.44,0.94,0.33,292
4980,8.76,4.07,1.22,1.077,668
4981,8.44,4.45,1.25,0.161,143
4982,9.35,3.0,1.2,0.151,0
4983,9.79,-0.45,1.61,0.471,354
4984,9.38,3.38,1.1,0.511,344
4985,8.08,5.59,1.21,1.068,609
4986,12.09,0.35,3.21,0.526,101
4987,8.13,2.71,1.15,1.089,633
4988,8.96,3.62,1.78,1.022,668
4989,10.16,22.32,2.12,1.078,738
4990,8.98,8.15,1.38,0.465,382
4991,7.73,1.64,0.85,1.409,719
4992,7.12,2.63,0.73,0.019,200
4993,8.97,0.13,0.88,1.724,785
4994,9.5,12.72,1.35,0.603,443
4995,3.32,16.46,22.22,0.885,585
4996,5.58,5.48,0.68,0.009,30
4997,7.31,3.69,0.78,1.345,609
4998,9.32,9.58,1.42,0.5,416
4999,8.91,5.49,1.11,0.813,543
5000,6.84,8.83,0.79,1.0,507
5001,6.12,9.31,0.9,1.076,668
